Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/07/2023,10/08/2023,SQ *PERFECT POUR CAFE,Food & Drink,Sale,-7.70,
10/05/2023,10/08/2023,IN N OUT BURGER 095,Food & Drink,Sale,-10.40,
10/03/2023,10/05/2023,SPORT CLIPS  CA639,Personal,Sale,-37.00,
10/04/2023,10/05/2023,GEICO  *AUTO,Bills & Utilities,Sale,-140.56,
10/03/2023,10/05/2023,TRADER JOE S #034,Groceries,Sale,-13.41,
10/02/2023,10/04/2023,RAMEN BOY,Food & Drink,Sale,-52.00,
10/01/2023,10/03/2023,STARBUCKS STORE 09505,Food & Drink,Sale,-8.25,
10/02/2023,10/03/2023,MCDONALD'S F11194,Food & Drink,Sale,-16.81,
09/29/2023,10/01/2023,TST* Gitana Cafe,Food & Drink,Sale,-20.79,
09/30/2023,10/01/2023,Prime Video *T95UZ8FD0,Shopping,Sale,-1.74,
10/01/2023,10/01/2023,REDONDO BEACH GROCE,Groceries,Sale,-9.48,
09/28/2023,10/01/2023,FIRST CLASS VENDING 80051,Food & Drink,Sale,-1.85,
09/28/2023,10/01/2023,FIRST CLASS VENDING 80051,Food & Drink,Sale,-1.85,
09/26/2023,09/29/2023,LAZ PARKING 970188-TIBA,Travel,Sale,-2.94,
09/27/2023,09/28/2023,SPEEDWAY 4982,Gas,Sale,-2.49,
09/27/2023,09/28/2023,DD DOORDASH BANGRAK,Food & Drink,Sale,-23.30,
09/23/2023,09/25/2023,TST* Bodega Wine Bar,Food & Drink,Sale,-44.29,
09/24/2023,09/25/2023,REDONDO BEACH GROCE,Groceries,Sale,-7.72,
09/23/2023,09/25/2023,TRADER JOE S #034,Groceries,Sale,-11.76,
09/23/2023,09/24/2023,AMZN Mktp US*T166Q6MI2,Shopping,Sale,-20.58,
09/22/2023,09/24/2023,SPORT CLIPS  CA642,Personal,Sale,-40.00,
09/21/2023,09/24/2023,SPROUTS FARMERS MAR,Groceries,Sale,-26.73,
09/23/2023,09/24/2023,LARWIN SQUARE DENTISTRY,Health & Wellness,Sale,-19.00,
09/19/2023,09/20/2023,OURARING INC.,Shopping,Sale,-5.99,
09/20/2023,09/20/2023,Amazon Prime*TX2V63WX2,Bills & Utilities,Sale,-16.41,
09/19/2023,09/19/2023,MEJURI,Shopping,Sale,-509.54,
09/15/2023,09/17/2023,TRADER JOE S #034,Groceries,Sale,-42.25,
09/13/2023,09/14/2023,SUPER HAYAT MARKET,Groceries,Sale,-4.99,
09/11/2023,09/12/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-3.75,
09/11/2023,09/11/2023,AUTOMATIC PAYMENT - THANK,,Payment,108.80,
09/10/2023,09/11/2023,AMZN Mktp US*TR7OQ6CQ1,Shopping,Sale,-33.93,
09/10/2023,09/11/2023,UBER   EATS,Food & Drink,Sale,-30.45,
09/07/2023,09/10/2023,IN N OUT BURGER 092,Food & Drink,Sale,-9.42,
09/09/2023,09/10/2023,Amazon.com*TL2402981,Shopping,Sale,-10.94,
09/07/2023,09/08/2023,AMZN Mktp US*TR1QW9LY2,Shopping,Sale,-9.74,
09/07/2023,09/08/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-3.75,
09/05/2023,09/06/2023,AMZN Mktp US*TL7WO67E2,Shopping,Sale,-26.12,
09/04/2023,09/05/2023,GEICO  *AUTO,Bills & Utilities,Sale,-140.54,
09/02/2023,09/03/2023,eBay O*01-10437-64381,Shopping,Return,31.63,
09/01/2023,09/03/2023,DD DOORDASH PARISBAGU,Food & Drink,Sale,-16.65,
08/30/2023,08/31/2023,MED*HOAG,Health & Wellness,Sale,-15.00,
08/28/2023,08/30/2023,SPROUTS FARMERS MAR,Groceries,Sale,-4.99,
08/29/2023,08/30/2023,DD DOORDASH MAGNOLIAB,Food & Drink,Sale,-18.72,
08/28/2023,08/29/2023,LA CARNICERIA MEAT MARKE,Groceries,Sale,-10.48,
08/26/2023,08/27/2023,IN N OUT BURGER 092,Food & Drink,Sale,-8.27,
08/25/2023,08/27/2023,CVS/PHARMACY #10795,Health & Wellness,Sale,-21.00,
08/22/2023,08/24/2023,TOCAYA PLAYA VISTA,Food & Drink,Sale,-25.19,
08/21/2023,08/23/2023,TRADER JOE S #106,Groceries,Sale,-8.07,
08/20/2023,08/22/2023,VONS #2110,Groceries,Sale,-52.11,
08/21/2023,08/22/2023,JETBLUE     2792131792043,Travel,Sale,-296.80,
08/19/2023,08/21/2023,FIVEPOINT AMPHITHEATRE,Food & Drink,Sale,-73.11,
08/20/2023,08/21/2023,TOMMY AND ATTICUS,Food & Drink,Sale,-28.12,
08/20/2023,08/21/2023,Amazon Prime*TQ9WY3M42,Bills & Utilities,Sale,-16.41,
08/20/2023,08/21/2023,TST* Bundoo Khan Fullerto,Food & Drink,Sale,-14.00,
08/18/2023,08/20/2023,REDONDO BEACH GROCE,Groceries,Sale,-34.19,
08/18/2023,08/20/2023,SPROUTS FARMERS MAR,Groceries,Sale,-4.99,
08/19/2023,08/20/2023,OURARING INC.,Shopping,Sale,-5.99,
08/19/2023,08/20/2023,eBay O*01-10437-64381,Shopping,Sale,-31.63,
08/19/2023,08/20/2023,PANDA EXPRESS #923 P,Food & Drink,Sale,-10.91,
08/16/2023,08/18/2023,DAVES HOT CHICKEN 1073,Food & Drink,Sale,-33.73,
08/14/2023,08/15/2023,PHILZ COFFEE,Food & Drink,Sale,-5.12,
08/15/2023,08/15/2023,Payment Thank You - Web,,Payment,1689.40,
08/13/2023,08/14/2023,PHILZ COFFEE,Food & Drink,Sale,-6.27,
08/12/2023,08/14/2023,BLAZE PIZZA HAWTHORNE - 1,Food & Drink,Sale,-15.14,
08/10/2023,08/13/2023,TACO BELL 039790,Food & Drink,Sale,-6.81,
08/10/2023,08/13/2023,TACO BELL 033628,Food & Drink,Sale,-6.45,
08/12/2023,08/13/2023,COSTCO GAS #0671,Gas,Sale,-47.00,
08/12/2023,08/13/2023,COSTCO WHSE #0671,Shopping,Sale,-3.31,
08/11/2023,08/13/2023,CAFE BELLA,Food & Drink,Sale,-35.45,
08/10/2023,08/13/2023,LA Metro,Travel,Sale,-20.00,
08/11/2023,08/11/2023,AUTOMATIC PAYMENT - THANK,,Payment,683.17,
08/10/2023,08/11/2023,COSTCO GAS #0671,Gas,Sale,-44.71,
08/09/2023,08/11/2023,ARCO #42168,Gas,Sale,-10.00,
08/09/2023,08/11/2023,SPROUTS FARMERS MAR,Groceries,Sale,-6.99,
08/10/2023,08/11/2023,IN N OUT BURGER 092,Food & Drink,Sale,-8.21,
08/10/2023,08/11/2023,DING TEA HAWTHORNE,Food & Drink,Sale,-12.76,
08/08/2023,08/10/2023,CARLS JR 1100128,Food & Drink,Sale,-5.18,
08/10/2023,08/10/2023,LA-TRANSIT FLORENCE LA B,Travel,Sale,-5.50,
08/09/2023,08/10/2023,SQ *LA EATS AT SOFI STADI,Food & Drink,Sale,-46.91,
08/07/2023,08/09/2023,EXXON CORNER ENTERPRISES,Gas,Sale,-10.01,
08/08/2023,08/09/2023,COSTCO GAS #0671,Gas,Sale,-44.51,
08/09/2023,08/09/2023,24 Hour Fitness USA  I,Health & Wellness,Return,24.99,
08/07/2023,08/09/2023,RICECUPS,Food & Drink,Sale,-16.73,
08/07/2023,08/08/2023,SQ *HI-LO ROOFTOP CINEMA,Groceries,Sale,-8.00,
08/05/2023,08/07/2023,IN N OUT BURGER 309,Food & Drink,Sale,-11.94,
08/06/2023,08/07/2023,SQ *FAMILY'S FARM MARKET,Food & Drink,Sale,-6.50,
08/06/2023,08/07/2023,SQ *JV ESPRESSO BAR AND C,Food & Drink,Sale,-7.30,
08/06/2023,08/07/2023,COSTCO WHSE #0671,Shopping,Sale,-60.00,
08/06/2023,08/07/2023,HANNAM CHAIN DEL AMO,Groceries,Sale,-5.28,
08/06/2023,08/07/2023,COSTCO WHSE #0671,Shopping,Sale,-1.65,
08/05/2023,08/07/2023,TARGET        00001990,Shopping,Sale,-71.70,
08/05/2023,08/06/2023,SQ *PURSUE COFFEE,Food & Drink,Sale,-15.13,
08/04/2023,08/06/2023,SPROUTS FARMERS MAR,Groceries,Sale,-6.99,
08/04/2023,08/06/2023,GEICO  *AUTO,Bills & Utilities,Sale,-140.54,
08/03/2023,08/04/2023,TST* Japonica Hermosa,Food & Drink,Sale,-81.60,
08/03/2023,08/04/2023,BAMBOO THAI BISTRO LLC,Food & Drink,Sale,-38.41,
08/02/2023,08/04/2023,SHELL OIL 10005935001,Gas,Sale,-10.00,
08/03/2023,08/04/2023,CVS/PHARMACY #10795,Health & Wellness,Sale,-14.94,
08/02/2023,08/04/2023,ACT*City MB-Parks&amp;,Bills & Utilities,Sale,-14.85,
08/02/2023,08/03/2023,CKE*IKES LOVE AND SANDWIC,Food & Drink,Sale,-15.70,
08/02/2023,08/03/2023,SQ *PURE BEAN MB LLC,Groceries,Sale,-16.81,
08/01/2023,08/03/2023,THE HOME DEPOT 6651,Home,Sale,-13.65,
08/02/2023,08/03/2023,TURO INC.* TRIP OCT 12,Travel,Sale,-358.44,
08/02/2023,08/03/2023,Amazon.com*TH6857SN0,Shopping,Sale,-15.55,
07/31/2023,08/02/2023,TRADER JOE S #106,Groceries,Sale,-24.27,
07/31/2023,08/02/2023,LAZ PARKING 670880-SKI,Travel,Sale,-9.00,
07/31/2023,08/02/2023,REI #14 MANHATTAN BH,Shopping,Sale,-21.89,
08/01/2023,08/01/2023,AMZN Mktp US*TH6579QR2,Shopping,Sale,-18.60,
07/30/2023,07/31/2023,SQ *SHAKE SHACK,Food & Drink,Sale,-15.36,
07/30/2023,07/31/2023,SQ *SHAKE SHACK,Food & Drink,Sale,-11.42,
07/24/2023,07/26/2023,MEDRANOS MEXICAN RESTAURA,Food & Drink,Sale,-44.00,
07/24/2023,07/25/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-24.99,
07/24/2023,07/25/2023,TRADER JOE S #034,Groceries,Sale,-10.48,
07/23/2023,07/25/2023,CARLS JR 599,Food & Drink,Sale,-8.81,
07/23/2023,07/24/2023,TST* HARLOWE,Food & Drink,Sale,-61.55,
07/23/2023,07/24/2023,IN N OUT BURGER 092,Food & Drink,Sale,-8.27,
07/22/2023,07/24/2023,AMIGOS TACOS MANHATTAN BE,Food & Drink,Sale,-10.94,
07/22/2023,07/24/2023,SPORT CLIPS  CA642,Personal,Sale,-35.00,
07/21/2023,07/23/2023,STARBUCKS STORE 13220,Food & Drink,Sale,-5.75,
07/22/2023,07/23/2023,BEVERAGES &amp; MORE #111,Food & Drink,Sale,-25.17,
07/20/2023,07/21/2023,Amazon Prime*P61MK4W13,Bills & Utilities,Sale,-16.41,
07/20/2023,07/21/2023,AMZN Mktp US*959HD0543,Shopping,Sale,-28.46,
07/19/2023,07/20/2023,HOLLISTER #30698,Shopping,Sale,-70.56,
07/19/2023,07/20/2023,OURARING INC.,Shopping,Sale,-5.99,
07/19/2023,07/20/2023,SQ *THE BOMBAY FRANKIE CO,Food & Drink,Sale,-18.39,
07/18/2023,07/19/2023,CHEVRON 0382848,Gas,Sale,-20.00,
07/17/2023,07/18/2023,DAVES HOT CHICKEN O 1073,Food & Drink,Sale,-10.99,
07/14/2023,07/16/2023,SPEEDWAY 4982,Gas,Sale,-50.01,
07/14/2023,07/16/2023,TACO BELL 039790,Food & Drink,Sale,-6.60,
07/12/2023,07/14/2023,SPROUTS FARMERS MAR,Groceries,Sale,-4.99,
07/14/2023,07/14/2023,TST* Georgias Lounge,Food & Drink,Sale,-75.94,
07/10/2023,07/11/2023,TRADER JOE S #034,Groceries,Sale,-2.85,
07/09/2023,07/10/2023,ARTS DISTRICT BREWING CO,Food & Drink,Sale,-8.28,
07/10/2023,07/10/2023,Payment Thank You - Web,,Payment,2000.00,
07/09/2023,07/10/2023,MCDONALD'S F19965,Food & Drink,Sale,-17.93,
07/08/2023,07/10/2023,ALONDRA GOLF COURSE,Entertainment,Sale,-35.00,
07/08/2023,07/09/2023,GLF*GolfNowReservation,Entertainment,Sale,-5.00,
07/07/2023,07/09/2023,COSTCO WHSE #0671,Shopping,Sale,-115.40,
07/08/2023,07/09/2023,SQ *BEACH CITIES CAFE &amp; C,Food & Drink,Sale,-6.50,
07/05/2023,07/07/2023,SHELL OIL 12590262007,Gas,Sale,-56.51,
07/05/2023,07/06/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-2.95,
07/05/2023,07/06/2023,LAWNDALE URGENT CARE,Health & Wellness,Sale,-15.00,
07/05/2023,07/06/2023,CVS/PHARMACY #10795,Health & Wellness,Sale,-16.51,
07/04/2023,07/05/2023,BEVERAGES &amp; MORE #111,Food & Drink,Sale,-69.12,
07/04/2023,07/05/2023,GEICO  *AUTO,Bills & Utilities,Sale,-140.54,
07/03/2023,07/04/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-3.75,
07/02/2023,07/03/2023,CHEVRON 0208060,Gas,Sale,-30.00,
06/30/2023,07/02/2023,REDONDO BEACH GROCE,Groceries,Sale,-25.47,
06/29/2023,07/02/2023,VONS #1623,Groceries,Sale,-14.93,
06/29/2023,06/30/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-3.75,
06/29/2023,06/30/2023,TRADER JOE S #034,Groceries,Sale,-2.99,
06/29/2023,06/30/2023,BEST BUY MHT  00001040,Shopping,Sale,-165.35,
06/29/2023,06/30/2023,WORLD MARKET  #304,Shopping,Sale,-17.14,
06/29/2023,06/30/2023,REDONDO BEACH GROCE,Groceries,Sale,-7.65,
06/28/2023,06/29/2023,GLENDALE PRKING EXCHANGE,Travel,Sale,-1.00,
06/27/2023,06/29/2023,SPEEDWAY 4982,Gas,Sale,-46.00,
06/28/2023,06/29/2023,AIRBNB  HM9H9RKTXD,Travel,Sale,-0.38,
06/27/2023,06/28/2023,CVS/PHARMACY #10445,Health & Wellness,Sale,-4.18,
06/27/2023,06/28/2023,AMZN Mktp US*7F8H801D3,Shopping,Sale,-36.12,
06/26/2023,06/28/2023,ARCO #42168,Gas,Sale,-10.00,
06/26/2023,06/28/2023,TRADER JOE S #034,Groceries,Sale,-9.03,
06/26/2023,06/27/2023,LA CARNICERIA MEAT MARKE,Groceries,Sale,-12.03,
06/26/2023,06/27/2023,REDONDO BEACH GROCE,Groceries,Sale,-7.65,
06/25/2023,06/26/2023,REDONDO BEACH GROCE,Groceries,Sale,-12.25,
06/25/2023,06/26/2023,MANHATTAN BEACH PARKING,Travel,Sale,-2.75,
06/22/2023,06/25/2023,SPROUTES FARMERS MA,Groceries,Sale,-8.99,
06/23/2023,06/25/2023,Amazon.com*JS8VV2DN3,Shopping,Sale,-7.65,
06/24/2023,06/25/2023,DD DOORDASH VENIEROS,Food & Drink,Sale,-20.05,
06/21/2023,06/23/2023,VONS #1623,Groceries,Sale,-5.98,
06/22/2023,06/22/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-275.88,
06/20/2023,06/22/2023,TRADER JOE S #034,Groceries,Sale,-25.89,
