Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/27/2025,03/02/2025,PY *MORELIA GOURMET PALET,Food & Drink,Sale,-11.11,
02/28/2025,02/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,1884.34,
02/26/2025,02/27/2025,TST* LOS TACOS NO. 1 FIDI,Food & Drink,Sale,-15.10,
02/25/2025,02/26/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.00,
02/24/2025,02/25/2025,CENTRAL PARK CANDY SHOP,Shopping,Sale,-10.40,
02/24/2025,02/25/2025,CHIPOTLE 0476,Food & Drink,Sale,-13.23,
02/22/2025,02/24/2025,QHALALCART LLC,Groceries,Sale,-15.47,
02/22/2025,02/24/2025,BROOKLYN PARAMOUNT THE,Food & Drink,Sale,-49.47,
02/20/2025,02/20/2025,LYFT   *1 RIDE 02-18,Travel,Sale,-80.49,
02/18/2025,02/20/2025,RUMBO ATO TULUM TI,Shopping,Sale,-12.20,
02/18/2025,02/19/2025,ART MEXICAN MEMORIES,Shopping,Sale,-22.91,
02/18/2025,02/19/2025,ACO TULUM CARLS JR SUE,Food & Drink,Sale,-8.10,
02/18/2025,02/19/2025,REST KE RICO TULUM NAC,Food & Drink,Sale,-3.38,
02/15/2025,02/17/2025,BONBONNIERE,Food & Drink,Sale,-14.76,
02/15/2025,02/17/2025,BONBONNIERE,Food & Drink,Sale,-19.88,
02/14/2025,02/16/2025,16141 CIELITO AERO TUL,Food & Drink,Sale,-3.14,
02/14/2025,02/16/2025,TRIAN,Food & Drink,Sale,-63.43,
02/14/2025,02/16/2025,SABARE 8,Food & Drink,Sale,-1.91,
02/14/2025,02/16/2025,POINTMP*STORE,Shopping,Sale,-2.94,
02/14/2025,02/16/2025,BPK*GO PHARMACY TULUM,Health & Wellness,Sale,-26.99,
02/13/2025,02/14/2025,FAIRWAY MARKET OF 86TH,Groceries,Sale,-8.70,
02/10/2025,02/12/2025,RAMEN MEIJIN,Food & Drink,Sale,-54.00,
02/10/2025,02/11/2025,707 BOWLMOR 8003425263,Food & Drink,Sale,-9.80,
02/09/2025,02/11/2025,WINSOR WINE SHOP,Food & Drink,Sale,-17.41,
02/10/2025,02/11/2025,TST* BLUE HAVEN EAST,Food & Drink,Sale,-147.22,
02/07/2025,02/10/2025,ANITA GELATO,Food & Drink,Sale,-12.67,
02/08/2025,02/09/2025,VOLO* SPORTS LEAGUES,Professional Services,Sale,-170.66,
02/07/2025,02/09/2025,TST*DOMODOMO NYC,Food & Drink,Sale,-167.00,
02/06/2025,02/07/2025,BOWERY BALLROOM,Food & Drink,Sale,-14.18,
02/04/2025,02/05/2025,CHIPOTLE 0476,Food & Drink,Sale,-12.68,
02/04/2025,02/04/2025,LYFT   *1 RIDE 02-02,Travel,Sale,-12.60,
01/31/2025,02/03/2025,I MILKY,Food & Drink,Sale,-7.35,
02/02/2025,02/03/2025,LEVI'S STORE 185,Shopping,Sale,-98.00,
02/01/2025,02/02/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
01/30/2025,02/02/2025,UNITED      0162455955635,Travel,Sale,-468.27,
01/30/2025,02/02/2025,DELTA AIR   0062302760500,Travel,Sale,-98.48,
02/02/2025,02/02/2025,Nintendo CA1350453005,Entertainment,Sale,-43.54,
